match_id,date,venue,event,match_type,total_overs,player_id,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,opponentplayer1,opponentplayer2,opponentplayer3,opponentplayer4,opponentplayer5,opponentplayer6,opponentplayer7,opponentplayer8,opponentplayer9,opponentplayer10,opponentplayer11
1422120,2024-03-23,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",Indian Premier League,T20,20,26989d80,Punjab Kings,0,1,0,0,0,0,0,0,0,1,0,1,-2,0,14,12,244048f6,0a476045,abb83e27,9418198b,e94915e6,800d2d97,50c6bc2b,c05edf8e,f986ca1a,e62dd25d,dcce6f09,3d8feaf8,1fc6ef83,919a3be2,b63e358a,85b3fab2,2e171977,8998a68f,ad3b6e95,8d2c70ad,a2f46292
1422124,2024-03-25,"M Chinnaswamy Stadium, Bengaluru",Indian Premier League,T20,20,26989d80,Punjab Kings,21,8,1,2,0,0,0,0,0,0,0,0,26,0,0,26,244048f6,0a476045,abb83e27,9418198b,50c6bc2b,e94915e6,800d2d97,c05edf8e,f986ca1a,e62dd25d,7210d461,ba607b88,3355b542,eaa76d3c,c740ea83,b681e71e,c8f5f961,c03f1114,da934ee8,b0946605,a457cfb5
1422129,2024-03-30,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Indian Premier League,T20,20,26989d80,Punjab Kings,9,7,1,0,0,0,0,0,0,0,0,0,10,0,0,10,244048f6,0a476045,abb83e27,9418198b,800d2d97,50c6bc2b,e94915e6,c05edf8e,f986ca1a,e62dd25d,372455c4,b17e2f24,2c25d4f5,d9273ee7,3241e3fd,872b03f7,5b8c830e,df064e1a,c33d8116,c0c411cb,b1ad996b
1422135,2024-04-04,"Narendra Modi Stadium, Ahmedabad",Indian Premier League,T20,20,26989d80,Punjab Kings,61,30,6,4,0,0,0,0,0,0,0,0,89,0,0,89,244048f6,0a476045,abb83e27,9418198b,e94915e6,26d041c4,800d2d97,84d9c311,c05edf8e,f986ca1a,759ac88f,fe11caa6,b4b99816,d027ba9f,d5130a30,0994d0ae,39a2dfa8,8f6dd463,5f547c8b,efc04be7,cc1e8c68
1426261,2024-04-09,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",Indian Premier League,T20,20,26989d80,Punjab Kings,46,27,6,1,0,0,0,0,0,1,0,0,64,0,8,72,244048f6,0a476045,abb83e27,9418198b,e94915e6,26d041c4,800d2d97,84d9c311,c05edf8e,f986ca1a,12b610c2,f29185a1,6a26221c,aad0c365,77255a9e,235c2bb6,8e514b4c,f9e6e7ef,ded9240e,2e81a32d,1e66c162
1426265,2024-04-13,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",Indian Premier League,T20,20,26989d80,Punjab Kings,9,9,1,0,0,0,0,0,0,1,0,0,10,0,8,18,1ac746c8,abb83e27,9418198b,e94915e6,800d2d97,50c6bc2b,84d9c311,c05edf8e,f986ca1a,e62dd25d,2e78f685,6c19c6e5,5724e517,a4cc73aa,04a418e8,bcf325d2,48a1d7b7,650d5e49,0b60eb09,a818c1be,eef2536f
1426271,2024-04-18,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",Indian Premier League,T20,20,26989d80,Punjab Kings,41,29,2,3,0,0,0,0,0,1,0,0,55,0,8,63,244048f6,e94915e6,9418198b,cad00a4d,50c6bc2b,28c78fb3,800d2d97,84d9c311,c05edf8e,f986ca1a,4bd09374,752f7486,740742ef,271f83cd,b0482a1d,dbe50b21,f1f99156,c5aef772,62af8546,3204c99f,7a8bd078
1426275,2024-04-21,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",Indian Premier League,T20,20,26989d80,Punjab Kings,8,12,0,0,0,0,0,0,0,0,0,0,6,0,0,6,e94915e6,9418198b,cad00a4d,800d2d97,50c6bc2b,84d9c311,28c78fb3,c05edf8e,f986ca1a,e62dd25d,cdc6bdba,fe11caa6,b4b99816,d5130a30,d67d5f00,8f6dd463,39a2dfa8,7dcb9bc9,5f547c8b,c7a995d3,efc04be7
1426280,2024-04-26,"Eden Gardens, Kolkata",Indian Premier League,T20,20,26989d80,Punjab Kings,68,29,2,8,0,0,0,0,0,0,0,0,100,0,0,100,244048f6,9418198b,abb83e27,cad00a4d,e94915e6,800d2d97,84d9c311,c05edf8e,f986ca1a,e62dd25d,e4cdf230,3d284ca3,9d430b40,a24be938,bbd41817,85ec8e33,0a509d6b,be24ead0,d7017798,5b7ab5a9,77b1aa15
1426287,2024-05-01,"MA Chidambaram Stadium, Chepauk, Chennai",Indian Premier League,T20,20,26989d80,Punjab Kings,25,27,1,1,0,0,0,0,0,0,0,0,28,0,0,28,244048f6,9418198b,abb83e27,cad00a4d,e94915e6,800d2d97,84d9c311,c05edf8e,2ed569a0,f986ca1a,29e95537,45a43fe2,a4e37e47,fe93fd9d,f89d3b11,bb351c23,4a8a2e3b,eade4650,23eeb873,1abb78f8,402f8494
1426291,2024-05-05,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Indian Premier League,T20,20,26989d80,Punjab Kings,27,21,4,0,0,0,0,0,0,0,0,0,31,0,0,31,244048f6,9418198b,abb83e27,cad00a4d,e94915e6,800d2d97,84d9c311,c05edf8e,f986ca1a,2ed569a0,30df8c66,29e95537,45a43fe2,eade4650,a4e37e47,bb351c23,fe93fd9d,e4a0deae,1abb78f8,4a8a2e3b,46a9bea1
1426296,2024-05-09,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Indian Premier League,T20,20,26989d80,Punjab Kings,37,19,4,2,0,0,0,0,0,1,0,0,55,0,8,63,d4d929b0,9418198b,abb83e27,cad00a4d,800d2d97,50c6bc2b,e94915e6,84d9c311,f986ca1a,2ed569a0,7210d461,ba607b88,3355b542,9caf69a1,c740ea83,eaa76d3c,c03f1114,da934ee8,983f2f61,119678fd,2f49c897
1426303,2024-05-15,"Barsapara Cricket Stadium, Guwahati",Indian Premier League,T20,20,26989d80,Punjab Kings,0,2,0,0,0,0,0,0,0,1,0,0,-2,0,8,6,244048f6,9418198b,abb83e27,cad00a4d,e94915e6,800d2d97,84d9c311,c05edf8e,f986ca1a,9eb1455b,6c19c6e5,f836b33d,a4cc73aa,04a418e8,495d42a5,bcf325d2,650d5e49,f0af99a7,a818c1be,eef2536f,ce820073
1426307,2024-05-19,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Indian Premier League,T20,20,26989d80,Punjab Kings,2,4,0,0,6,1,5,0,0,1,0,0,2,25,8,35,244048f6,1ac746c8,9418198b,cad00a4d,800d2d97,84d9c311,e1d9ae9c,26a85969,c05edf8e,f986ca1a,ce794613,12b610c2,f29185a1,77255a9e,aad0c365,235c2bb6,f9e6e7ef,8e514b4c,b0f2baf4,ded9240e,2e81a32d
