match_id,date,venue,event,match_type,total_overs,player_id,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,opponentplayer1,opponentplayer2,opponentplayer3,opponentplayer4,opponentplayer5,opponentplayer6,opponentplayer7,opponentplayer8,opponentplayer9,opponentplayer10,opponentplayer11
335988,2008-04-22,Rajiv Gandhi International Stadium,Indian Premier League,T20,20,93a17209,Delhi Daredevils,0,0,0,0,25,1,36,0,0,0,0,0,0,25,0,25,bb345e0b,8ba8195d,0a476045,64c34cd0,c03f1114,26e5cabf,33a364a6,ab89348d,e03b66ec,ee7d0c82,2b6e6dec,fe763256,de8cce37,bd77eb62,740742ef,0dc00542,0604ef16,b9be6507,bcce309e,c3d1402f,6c6591ab
335995,2008-04-27,"Punjab Cricket Association Stadium, Mohali",Indian Premier League,T20,20,93a17209,Delhi Daredevils,6,5,0,0,24,1,23,0,0,0,0,0,6,29,0,35,bb345e0b,8ba8195d,0a476045,64c34cd0,26e5cabf,c03f1114,33a364a6,ab89348d,e03b66ec,ee7d0c82,a1f1829d,fdedb37c,6b71e6cf,d18f9182,1c914163,a76d10ba,5fa06777,dd09ff8e,98ae73b1,6b8eb6e5,034b4b7d
335998,2008-04-30,Feroz Shah Kotla,Indian Premier League,T20,20,93a17209,Delhi Daredevils,0,0,0,0,25,0,29,0,0,1,0,0,0,2,8,10,bb345e0b,8ba8195d,0a476045,64c34cd0,c03f1114,26e5cabf,33a364a6,d7c6af50,e03b66ec,ee7d0c82,e938e1bc,619aa81f,b61a3e1a,86dc8f2e,0184dc35,f3cb53a1,ba607b88,91a4a398,8fd1a8f5,41eb4a4f,670709ec
336001,2008-05-02,"MA Chidambaram Stadium, Chepauk",Indian Premier League,T20,20,93a17209,Delhi Daredevils,0,0,0,0,26,1,31,1,0,2,0,0,0,33,16,49,bb345e0b,8ba8195d,c4487b84,0a476045,64c34cd0,c03f1114,33a364a6,ee7d0c82,9fc0ef64,e03b66ec,b5da6c24,eea6b7f1,756389bd,4a8a2e3b,c3d35165,1dc12ab9,3576e47e,9f961c14,20a941bb,ae78bc32,4ba44e19
336004,2008-05-04,Dr DY Patil Sports Academy,Indian Premier League,T20,20,93a17209,Delhi Daredevils,3,5,0,0,24,3,37,1,0,1,0,0,3,87,8,98,bb345e0b,8ba8195d,0a476045,c4487b84,64c34cd0,c03f1114,33a364a6,9fc0ef64,e03b66ec,ee7d0c82,4e04666c,f233bbb4,7d3937ed,1c17e270,87e562a9,a45a5e8d,88fccd6c,709b0bac,5f4e9e8f,96fd40ae,d2a989fc
336009,2008-05-08,Feroz Shah Kotla,Indian Premier League,T20,20,93a17209,Delhi Daredevils,0,0,0,0,24,2,41,0,0,0,0,0,0,48,0,48,bb345e0b,8ba8195d,c4487b84,0a476045,64c34cd0,c03f1114,26e5cabf,ee7d0c82,e03b66ec,9fc0ef64,756389bd,eea6b7f1,4a8a2e3b,1dc12ab9,c3d35165,cfad138c,3576e47e,ae78bc32,6ad3a659,4ba44e19,b2b50355
336015,2008-05-11,Sawai Mansingh Stadium,Indian Premier League,T20,20,93a17209,Delhi Daredevils,0,1,0,0,15,0,38,0,0,1,0,0,-2,-6,8,0,bb345e0b,8ba8195d,0a476045,c4487b84,c03f1114,5bdcdb72,6b19d823,ab89348d,ee7d0c82,9fc0ef64,3c6ffae8,72861603,d84378a4,4329fbb5,fe93fd9d,3edb58fc,bb18be76,a2870fb7,de8d3876,3d7e087f,f0f628c7
336017,2008-05-13,Eden Gardens,Indian Premier League,T20,20,93a17209,Delhi Daredevils,3,7,0,0,25,2,34,1,0,0,0,0,3,58,0,61,bb345e0b,8ba8195d,c4487b84,26e5cabf,0a476045,5bdcdb72,6b19d823,ab89348d,9fc0ef64,ee7d0c82,4d6d6280,e249fdaa,725529bc,fd835ab3,75de770f,b1451597,fe11caa6,85aae393,5bb1a1c4,66b30f71,10a91f35
336026,2008-05-19,M Chinnaswamy Stadium,Indian Premier League,T20,20,93a17209,Delhi Daredevils,0,0,0,0,24,0,25,0,0,0,0,0,0,2,0,2,bb345e0b,8ba8195d,c4487b84,5bdcdb72,0a476045,c03f1114,ab89348d,33a364a6,9fc0ef64,ee7d0c82,86dc8f2e,5451a2c1,541f85c9,0184dc35,7eae4418,d0513f63,af7dadf7,e938e1bc,91a4a398,0c2730df,8fd1a8f5
336032,2008-05-24,Feroz Shah Kotla,Indian Premier League,T20,20,93a17209,Delhi Daredevils,0,0,0,0,24,5,36,1,0,0,0,0,0,149,0,149,bb345e0b,8ba8195d,0a476045,26e5cabf,5bdcdb72,c03f1114,ab89348d,50758325,6b19d823,ee7d0c82,f233bbb4,d2c2b2d5,35205dfc,1c17e270,a45a5e8d,88fccd6c,facb9086,0aadc906,2503e881,d2a989fc,96fd40ae
