match_id,player_id,date,venue,event,match_type,total_overs,player_name,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,player11
1136564,7a8bd078,2018-04-09,Rajiv Gandhi International Stadium,Indian Premier League,T20,20,S Gopal,Rajasthan Royals,18,20,2,0,18,0,18,0,0,0,0,0,20,2,0,22,WP Saha,S Dhawan,KS Williamson,MK Pandey,DJ Hooda,YK Pathan,Shakib Al Hasan,Rashid Khan,B Kumar,B Stanlake,S Kaul
1136566,7a8bd078,2018-04-11,Sawai Mansingh Stadium,Indian Premier League,T20,20,S Gopal,Rajasthan Royals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GJ Maxwell,C Munro,RR Pant,CH Morris,V Shankar,SS Iyer,G Gambhir,R Tewatia,S Nadeem,TA Boult,Mohammed Shami
1136571,7a8bd078,2018-04-15,M.Chinnaswamy Stadium,Indian Premier League,T20,20,S Gopal,Rajasthan Royals,0,0,0,0,24,2,24,0,0,0,0,0,0,52,0,52,BB McCullum,Q de Kock,V Kohli,AB de Villiers,Mandeep Singh,P Negi,Washington Sundar,CR Woakes,UT Yadav,K Khejroliya,YS Chahal
1136575,7a8bd078,2018-04-18,Sawai Mansingh Stadium,Indian Premier League,T20,20,S Gopal,Rajasthan Royals,0,1,0,0,18,1,24,0,0,0,0,0,-2,25,0,23,SP Narine,CA Lynn,RV Uthappa,N Rana,KD Karthik,AD Russell,Shubman Gill,TK Curran,PP Chawla,Shivam Mavi,Kuldeep Yadav
1136577,7a8bd078,2018-04-20,Maharashtra Cricket Association Stadium,Indian Premier League,T20,20,S Gopal,Rajasthan Royals,8,10,0,0,24,3,20,0,0,0,0,0,8,83,0,91,SR Watson,AT Rayudu,SK Raina,MS Dhoni,SW Billings,DJ Bravo,RA Jadeja,DL Chahar,KV Sharma,SN Thakur,Imran Tahir
1136581,7a8bd078,2018-04-22,Sawai Mansingh Stadium,Indian Premier League,T20,20,S Gopal,Rajasthan Royals,0,0,0,0,12,0,30,0,0,0,0,0,0,-6,0,-6,SA Yadav,E Lewis,Ishan Kishan,KA Pollard,RG Sharma,KH Pandya,HH Pandya,MJ McClenaghan,M Markande,JJ Bumrah,Mustafizur Rahman
1136592,7a8bd078,2018-05-02,Arun Jaitley Stadium,Indian Premier League,T20,20,S Gopal,Rajasthan Royals,0,0,0,0,12,1,26,0,0,0,0,0,0,19,0,19,PP Shaw,C Munro,SS Iyer,RR Pant,GJ Maxwell,V Shankar,LE Plunkett,A Mishra,S Nadeem,Avesh Khan,TA Boult
1136598,7a8bd078,2018-05-06,Holkar Cricket Stadium,Indian Premier League,T20,20,S Gopal,Rajasthan Royals,24,16,3,0,18,0,26,0,0,0,0,0,29,0,0,29,KL Rahul,CH Gayle,MA Agarwal,KK Nair,AR Patel,MP Stoinis,MK Tiwary,R Ashwin,Mujeeb Ur Rahman,AS Rajpoot,AJ Tye
1136607,7a8bd078,2018-05-13,Wankhede Stadium,Indian Premier League,T20,20,S Gopal,Rajasthan Royals,0,0,0,0,12,0,21,0,0,0,0,0,0,-2,0,-2,SA Yadav,E Lewis,RG Sharma,Ishan Kishan,HH Pandya,KH Pandya,BCJ Cutting,JP Duminy,MJ McClenaghan,M Markande,JJ Bumrah
1136613,7a8bd078,2018-05-19,Sawai Mansingh Stadium,Indian Premier League,T20,20,S Gopal,Rajasthan Royals,0,0,0,0,24,4,16,0,0,0,3,0,0,114,36,150,V Kohli,PA Patel,AB de Villiers,MM Ali,Mandeep Singh,C de Grandhomme,SN Khan,TG Southee,UT Yadav,Mohammed Siraj,YS Chahal
