match_id,player_id,date,venue,event,match_type,total_overs,player_name,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,player11
1082591,96fd40ae,2017-04-05,"Rajiv Gandhi International Stadium, Uppal",Indian Premier League,T20,20,A Nehra,Sunrisers Hyderabad,0,0,0,0,24,2,42,1,0,0,0,0,0,56,0,56,CH Gayle,Mandeep Singh,TM Head,KM Jadhav,SR Watson,Sachin Baby,STR Binny,S Aravind,TS Mills,YS Chahal,A Choudhary
1082596,96fd40ae,2017-04-09,"Rajiv Gandhi International Stadium, Uppal",Indian Premier League,T20,20,A Nehra,Sunrisers Hyderabad,0,0,0,0,24,2,28,0,0,0,0,0,0,50,0,50,JJ Roy,BB McCullum,SK Raina,AJ Finch,KD Karthik,DR Smith,DS Kulkarni,P Kumar,Basil Thampi,Tejas Baroka,S Kaushik
1082600,96fd40ae,2017-04-12,Wankhede Stadium,Indian Premier League,T20,20,A Nehra,Sunrisers Hyderabad,0,0,0,0,24,1,46,1,0,0,0,0,0,29,0,29,PA Patel,JC Buttler,RG Sharma,N Rana,KA Pollard,KH Pandya,HH Pandya,Harbhajan Singh,MJ McClenaghan,SL Malinga,JJ Bumrah
1082604,96fd40ae,2017-04-15,Eden Gardens,Indian Premier League,T20,20,A Nehra,Sunrisers Hyderabad,0,0,0,0,24,1,35,0,0,0,0,0,0,25,0,25,SP Narine,G Gambhir,RV Uthappa,MK Pandey,YK Pathan,SA Yadav,C de Grandhomme,CR Woakes,Kuldeep Yadav,UT Yadav,TA Boult
1082623,96fd40ae,2017-04-28,"Punjab Cricket Association IS Bindra Stadium, Mohali",Indian Premier League,T20,20,A Nehra,Sunrisers Hyderabad,0,0,0,0,24,3,42,0,0,1,0,0,0,77,8,85,MJ Guptill,M Vohra,SE Marsh,GJ Maxwell,EJG Morgan,WP Saha,AR Patel,Anureet Singh,MM Sharma,I Sharma,KC Cariappa
1082634,96fd40ae,2017-05-06,"Rajiv Gandhi International Stadium, Uppal",Indian Premier League,T20,20,A Nehra,Sunrisers Hyderabad,0,0,0,0,7,1,5,0,0,0,0,0,0,25,0,25,AM Rahane,RA Tripathi,SPD Smith,BA Stokes,MS Dhoni,DT Christian,MK Tiwary,Washington Sundar,SN Thakur,JD Unadkat,Imran Tahir
335985,96fd40ae,2008-04-20,Wankhede Stadium,Indian Premier League,T20,20,A Nehra,Mumbai Indians,0,0,0,0,24,1,45,0,0,0,0,0,0,21,0,21,S Chanderpaul,R Dravid,LRPL Taylor,JH Kallis,V Kohli,MV Boucher,B Akhil,P Kumar,Z Khan,SB Joshi,R Vinay Kumar
335989,96fd40ae,2008-04-23,"MA Chidambaram Stadium, Chepauk",Indian Premier League,T20,20,A Nehra,Mumbai Indians,1,2,0,0,25,2,35,0,0,0,0,0,1,50,0,51,PA Patel,ML Hayden,MEK Hussey,SK Raina,MS Dhoni,JDP Oram,S Badrinath,Joginder Sharma,P Amarnath,MS Gony,M Muralitharan
335991,96fd40ae,2008-04-25,"Punjab Cricket Association Stadium, Mohali",Indian Premier League,T20,20,A Nehra,Mumbai Indians,2,10,0,0,18,2,22,0,0,1,0,0,-4,50,8,54,K Goel,IK Pathan,KC Sangakkara,Yuvraj Singh,RR Sarwan,DPMD Jayawardene,S Sohal,B Lee,PP Chawla,S Sreesanth,VRV Singh
335994,96fd40ae,2008-04-27,Dr DY Patil Sports Academy,Indian Premier League,T20,20,A Nehra,Mumbai Indians,0,0,0,0,12,0,19,0,0,0,0,0,0,0,0,0,AC Gilchrist,VVS Laxman,A Symonds,RG Sharma,Shahid Afridi,SB Bangar,AS Yadav,RP Singh,PP Ojha,D Kalyankrishna,DNT Zoysa
335997,96fd40ae,2008-04-29,Eden Gardens,Indian Premier League,T20,20,A Nehra,Mumbai Indians,0,0,0,0,6,0,9,0,0,2,0,0,0,0,16,16,BB McCullum,SC Ganguly,RT Ponting,DB Das,DJ Hussey,Mohammad Hafeez,LR Shukla,AB Agarkar,M Kartik,I Sharma,AB Dinda
336004,96fd40ae,2008-05-04,Dr DY Patil Sports Academy,Indian Premier League,T20,20,A Nehra,Mumbai Indians,0,0,0,0,24,3,26,0,0,1,0,0,0,81,8,89,G Gambhir,V Sehwag,S Dhawan,AB de Villiers,Shoaib Malik,KD Karthik,R Bhatia,PJ Sangwan,VY Mahesh,Mohammad Asif,GD McGrath
336008,96fd40ae,2008-05-07,Dr DY Patil Sports Academy,Indian Premier League,T20,20,A Nehra,Mumbai Indians,0,0,0,0,18,3,13,2,0,1,0,0,0,101,8,109,GC Smith,SA Asnodkar,YK Pathan,SR Watson,M Kaif,RA Jadeja,SK Warne,Sohail Tanvir,M Rawat,SK Trivedi,MM Patel
336012,96fd40ae,2008-05-28,M Chinnaswamy Stadium,Indian Premier League,T20,20,A Nehra,Mumbai Indians,0,0,0,0,18,1,21,0,0,1,0,0,0,25,8,33,MV Boucher,SP Goswami,Misbah-ul-Haq,R Dravid,CL White,V Kohli,B Akhil,P Kumar,R Vinay Kumar,A Kumble,DW Steyn
336018,96fd40ae,2008-05-14,Wankhede Stadium,Indian Premier League,T20,20,A Nehra,Mumbai Indians,0,0,0,0,24,0,32,0,0,0,0,0,0,0,0,0,S Vidyut,SP Fleming,SK Raina,S Badrinath,CK Kapugedera,MS Dhoni,JA Morkel,Joginder Sharma,MS Gony,L Balaji,M Muralitharan
336021,96fd40ae,2008-05-16,Wankhede Stadium,Indian Premier League,T20,20,A Nehra,Mumbai Indians,0,0,0,0,18,0,18,0,0,0,0,0,0,2,0,2,Salman Butt,A Chopra,SC Ganguly,DJ Hussey,Mohammad Hafeez,WP Saha,LR Shukla,AB Agarkar,Shoaib Akhtar,I Sharma,AB Dinda
336024,96fd40ae,2008-05-18,"Rajiv Gandhi International Stadium, Uppal",Indian Premier League,T20,20,A Nehra,Mumbai Indians,0,0,0,0,24,0,31,0,0,0,0,0,0,0,0,0,AC Gilchrist,Shahid Afridi,RG Sharma,LPC Silva,Y Venugopal Rao,DB Ravi Teja,DNT Zoysa,H Das,RP Singh,PP Ojha,DP Vijaykumar
336028,96fd40ae,2008-05-21,Wankhede Stadium,Indian Premier League,T20,20,A Nehra,Mumbai Indians,0,1,0,0,18,0,34,0,0,0,0,0,-2,-4,0,-6,SE Marsh,JR Hopes,LA Pomersbach,Yuvraj Singh,DPMD Jayawardene,IK Pathan,TM Srivastava,PP Chawla,U Kaul,S Sreesanth,VRV Singh
336032,96fd40ae,2008-05-24,Feroz Shah Kotla,Indian Premier League,T20,20,A Nehra,Mumbai Indians,0,0,0,0,23,1,30,1,0,0,0,0,0,33,0,33,G Gambhir,V Sehwag,S Dhawan,MK Tiwary,TM Dilshan,KD Karthik,MF Maharoof,B Geeves,VY Mahesh,A Mishra,GD McGrath
336036,96fd40ae,2008-05-26,Sawai Mansingh Stadium,Indian Premier League,T20,20,A Nehra,Mumbai Indians,0,0,0,0,18,1,22,0,0,1,0,0,0,25,8,33,Kamran Akmal,SA Asnodkar,YK Pathan,SR Watson,M Kaif,RA Jadeja,NK Patel,SK Warne,Sohail Tanvir,SK Trivedi,Pankaj Singh
392189,96fd40ae,2009-04-23,Kingsmead,Indian Premier League,T20,20,A Nehra,Delhi Daredevils,0,0,0,0,24,1,37,0,0,0,0,0,0,25,0,25,PA Patel,ML Hayden,SK Raina,MS Dhoni,A Flintoff,JA Morkel,S Badrinath,MS Gony,Joginder Sharma,L Balaji,M Muralitharan
392194,96fd40ae,2009-04-26,St George's Park,Indian Premier League,T20,20,A Nehra,Delhi Daredevils,0,0,0,0,25,3,34,0,0,0,0,0,0,79,0,79,JH Kallis,RV Uthappa,KP Pietersen,LRPL Taylor,V Kohli,MV Boucher,B Akhil,R Vinay Kumar,Pankaj Singh,A Kumble,KP Appanna
392198,96fd40ae,2009-04-28,SuperSport Park,Indian Premier League,T20,20,A Nehra,Delhi Daredevils,0,0,0,0,24,1,23,1,0,0,0,0,0,37,0,37,RJ Quiney,GC Smith,SA Asnodkar,PC Valthaty,RA Jadeja,SK Warne,YK Pathan,AD Mascarenhas,M Rawat,MM Patel,Kamran Khan
392201,96fd40ae,2009-04-30,SuperSport Park,Indian Premier League,T20,20,A Nehra,Delhi Daredevils,0,0,0,0,25,3,33,1,0,0,0,0,0,87,0,87,AC Gilchrist,HH Gibbs,AA Bilakhia,RG Sharma,TL Suman,DR Smith,Y Venugopal Rao,Shoaib Ahmed,RP Singh,PP Ojha,FH Edwards
392206,96fd40ae,2009-05-02,New Wanderers Stadium,Indian Premier League,T20,20,A Nehra,Delhi Daredevils,0,0,0,0,24,3,27,0,0,0,0,0,0,81,0,81,M Vijay,ML Hayden,SK Raina,S Badrinath,JA Morkel,MS Dhoni,JDP Oram,SB Jakati,L Balaji,M Muralitharan,S Tyagi
392211,96fd40ae,2009-05-05,Kingsmead,Indian Premier League,T20,20,A Nehra,Delhi Daredevils,0,0,0,0,24,1,23,1,0,1,0,0,0,37,8,45,MN van Wyk,BB McCullum,BJ Hodge,MC Henriques,WP Saha,SC Ganguly,Yashpal Singh,AB Agarkar,M Kartik,I Sharma,AB Dinda
392215,96fd40ae,2009-05-08,Buffalo Park,Indian Premier League,T20,20,A Nehra,Delhi Daredevils,0,0,0,0,25,2,27,1,0,0,0,0,0,60,0,60,L Ronchi,JP Duminy,PR Shah,SR Tendulkar,AM Nayar,DJ Bravo,Harbhajan Singh,AM Rahane,RR Raje,DS Kulkarni,SL Malinga
392219,96fd40ae,2009-05-10,New Wanderers Stadium,Indian Premier League,T20,20,A Nehra,Delhi Daredevils,0,0,0,0,24,2,29,1,0,0,0,0,0,58,0,58,BB McCullum,SC Ganguly,BJ Hodge,MN van Wyk,Yashpal Singh,WP Saha,MC Henriques,AB Agarkar,M Kartik,I Sharma,SS Sarkar
